state,quarter_label,labour_income_real,quarter,region,informality_rate,dieese_pc_real,ratio_pct,quarter_str
Rondônia,4º trimestre 2015,2584.0,2015Q4,North,48.2,1440.085875888325,179.43374372768187,2015Q4
Rondônia,1º trimestre 2016,2518.0,2016Q1,North,46.7,1550.0176104829545,162.44976721364097,2016Q1
Rondônia,2º trimestre 2016,2475.0,2016Q2,North,50.6,1542.3339424526514,160.47108423641404,2016Q2
Rondônia,3º trimestre 2016,2513.0,2016Q3,North,48.4,1594.1316378882575,157.64068288168255,2016Q3
Rondônia,4º trimestre 2016,2521.0,2016Q4,North,49.3,1563.0925607196968,161.2828352813126,2016Q4
Rondônia,1º trimestre 2017,2510.0,2017Q1,North,49.7,1462.7134687566702,171.59888478592737,2017Q1
Rondônia,2º trimestre 2017,2583.0,2017Q2,North,50.8,1501.363255247243,172.04364040297725,2017Q2
Rondônia,3º trimestre 2017,2689.0,2017Q3,North,49.7,1464.7913139185341,183.5756380072002,2017Q3
Rondônia,4º trimestre 2017,2672.0,2017Q4,North,48.8,1436.901422607613,185.95569312966472,2017Q4
Rondônia,1º trimestre 2018,2812.0,2018Q1,North,48.2,1437.3564047344516,195.63693393911655,2018Q1
Rondônia,2º trimestre 2018,2757.0,2018Q2,North,48.6,1435.4605898584905,192.06378910561304,2018Q2
Rondônia,3º trimestre 2018,2890.0,2018Q3,North,51.0,1379.9485013190076,209.42810526897398,2018Q3
Rondônia,4º trimestre 2018,2832.0,2018Q4,North,49.3,1465.3739040880503,193.26125517176078,2018Q4
Rondônia,1º trimestre 2019,2695.0,2019Q1,North,51.2,1519.4737125417503,177.36404241517604,2019Q1
Rondônia,2º trimestre 2019,2725.0,2019Q2,North,51.2,1572.3309076402804,173.30957413345132,2019Q2
Rondônia,3º trimestre 2019,2852.0,2019Q3,North,49.6,1484.533336932198,192.11424419027765,2019Q3
Rondônia,4º trimestre 2019,2868.0,2019Q4,North,47.3,1493.175712249499,192.07384479079832,2019Q4
Rondônia,1º trimestre 2020,2782.0,2020Q1,North,47.8,1575.5359985951482,176.57482929495833,2020Q1
Rondônia,2º trimestre 2020,2876.0,2020Q2,North,46.2,1669.033443373206,172.3153008957957,2020Q2
Rondônia,3º trimestre 2020,2670.0,2020Q3,North,47.0,1637.1745618819775,163.08584693197048,2020Q3
Rondônia,4º trimestre 2020,2642.0,2020Q4,North,50.2,1795.215855247209,147.16893192970298,2020Q4
Rondônia,1º trimestre 2021,2531.0,2021Q1,North,49.0,1819.3382207878788,139.1165189122411,2021Q1
Rondônia,2º trimestre 2021,2583.0,2021Q2,North,48.2,1772.9198499469696,145.69186531908144,2021Q2
Rondônia,3º trimestre 2021,2693.0,2021Q3,North,48.3,1795.7637244696969,149.9640494628693,2021Q3
Rondônia,4º trimestre 2021,2626.0,2021Q4,North,47.2,1835.3350591136361,143.08014152294407,2021Q4
Rondônia,1º trimestre 2022,2645.0,2022Q1,North,48.3,1862.2395224972497,142.0332866984304,2022Q1
Rondônia,2º trimestre 2022,2734.0,2022Q2,North,50.6,1946.5575643014301,140.45307727548055,2022Q2
Rondônia,3º trimestre 2022,2812.0,2022Q3,North,48.0,1872.1964641570405,150.1979121227594,2022Q3
Rondônia,4º trimestre 2022,2979.0,2022Q4,North,49.0,1927.633728307206,154.5418072040104,2022Q4
Rondônia,1º trimestre 2023,2920.0,2023Q1,North,48.4,1901.5979813236047,153.55506414492183,2023Q1
Rondônia,2º trimestre 2023,2880.0,2023Q2,North,48.9,1888.6460258899479,152.49019459021798,2023Q2
Rondônia,3º trimestre 2023,3030.0,2023Q3,North,45.5,1819.1727967234847,166.55921886350424,2023Q3
Rondônia,4º trimestre 2023,3002.0,2023Q4,North,44.7,1785.7779660732324,168.10600517157977,2023Q4
Rondônia,1º trimestre 2024,3000.0,2024Q1,North,44.5,1907.1590646659586,157.3020339824384,2024Q1
Rondônia,2º trimestre 2024,3258.0,2024Q2,North,45.1,1913.0843132908403,170.30091028218558,2024Q2
Rondônia,3º trimestre 2024,3268.0,2024Q3,North,44.6,1828.9804089648253,178.67878649666005,2024Q3
Rondônia,4º trimestre 2024,3240.0,2024Q4,North,47.7,1871.7090283876298,173.1038292202434,2024Q4
Rondônia,1º trimestre 2025,3110.0,2025Q1,North,48.3,1929.8624892402283,161.15137826345247,2025Q1
Rondônia,2º trimestre 2025,3232.0,2025Q2,North,47.7,1968.7305614844092,164.16670027020328,2025Q2
Rondônia,3º trimestre 2025,3242.0,2025Q3,North,45.0,1864.5290924297321,173.87768381641277,2025Q3
Rondônia,4º trimestre 2025,3532.0,2025Q4,North,43.5,1839.2323046442687,192.03664436957214,2025Q4
Rondônia,1º trimestre 2026,3484.0,2026Q1,North,41.3,1855.8413021591607,187.73156928593914,2026Q1
Acre,4º trimestre 2015,2520.0,2015Q4,North,53.2,1440.085875888325,174.98956431646994,2015Q4
Acre,1º trimestre 2016,2468.0,2016Q1,North,54.4,1550.0176104829545,159.22399741194042,2016Q1
Acre,2º trimestre 2016,2573.0,2016Q2,North,48.3,1542.3339424526514,166.82509080415892,2016Q2
Acre,3º trimestre 2016,2519.0,2016Q3,North,46.8,1594.1316378882575,158.01706334220387,2016Q3
Acre,4º trimestre 2016,2657.0,2016Q4,North,50.1,1563.0925607196968,169.98353563762302,2016Q4
Acre,1º trimestre 2017,2699.0,2017Q1,North,50.3,1462.7134687566702,184.52007571203902,2017Q1
Acre,2º trimestre 2017,2655.0,2017Q2,North,50.3,1501.363255247243,176.8392819473111,2017Q2
Acre,3º trimestre 2017,2625.0,2017Q3,North,51.6,1464.7913139185341,179.20641493823004,2017Q3
Acre,4º trimestre 2017,2514.0,2017Q4,North,53.6,1436.901422607613,174.95981007783575,2017Q4
Acre,1º trimestre 2018,2445.0,2018Q1,North,53.1,1437.3564047344516,170.1039486063798,2018Q1
Acre,2º trimestre 2018,2509.0,2018Q2,North,51.1,1435.4605898584905,174.78710441276138,2018Q2
Acre,3º trimestre 2018,2584.0,2018Q3,North,50.3,1379.9485013190076,187.2533647110826,2018Q3
Acre,4º trimestre 2018,2585.0,2018Q4,North,50.6,1465.3739040880503,176.405488919139,2018Q4
Acre,1º trimestre 2019,2679.0,2019Q1,North,52.0,1519.4737125417503,176.31104624499318,2019Q1
Acre,2º trimestre 2019,2638.0,2019Q2,North,50.8,1572.3309076402804,167.77638772992464,2019Q2
Acre,3º trimestre 2019,2600.0,2019Q3,North,50.8,1484.533336932198,175.1392127961858,2019Q3
Acre,4º trimestre 2019,2687.0,2019Q4,North,49.4,1493.175712249499,179.9520296209467,2019Q4
Acre,1º trimestre 2020,2551.0,2020Q1,North,52.0,1575.5359985951482,161.91315223991327,2020Q1
Acre,2º trimestre 2020,2838.0,2020Q2,North,49.5,1669.033443373206,170.03853405503068,2020Q2
Acre,3º trimestre 2020,2791.0,2020Q3,North,47.2,1637.1745618819775,170.47662875922455,2020Q3
Acre,4º trimestre 2020,2667.0,2020Q4,North,46.8,1795.215855247209,148.56152212585837,2020Q4
Acre,1º trimestre 2021,2609.0,2021Q1,North,46.9,1819.3382207878788,143.40379211459384,2021Q1
Acre,2º trimestre 2021,2713.0,2021Q2,North,49.3,1772.9198499469696,153.0244020947224,2021Q2
Acre,3º trimestre 2021,2749.0,2021Q3,North,46.7,1795.7637244696969,153.08249980446627,2021Q3
Acre,4º trimestre 2021,2614.0,2021Q4,North,47.8,1835.3350591136361,142.42630995467474,2021Q4
Acre,1º trimestre 2022,2678.0,2022Q1,North,47.7,1862.2395224972497,143.80534660808945,2022Q1
Acre,2º trimestre 2022,2721.0,2022Q2,North,48.7,1946.5575643014301,139.78523162640184,2022Q2
Acre,3º trimestre 2022,2671.0,2022Q3,North,47.1,1872.1964641570405,142.66665123751434,2022Q3
Acre,4º trimestre 2022,2602.0,2022Q4,North,46.6,1927.633728307206,134.98414983042466,2022Q4
Acre,1º trimestre 2023,2604.0,2023Q1,North,45.5,1901.5979813236047,136.93746131280017,2023Q1
Acre,2º trimestre 2023,2676.0,2023Q2,North,45.1,1888.6460258899479,141.6888058067442,2023Q2
Acre,3º trimestre 2023,2620.0,2023Q3,North,45.1,1819.1727967234847,144.02150277966373,2023Q3
Acre,4º trimestre 2023,2636.0,2023Q4,North,44.7,1785.7779660732324,147.6107360533925,2023Q4
Acre,1º trimestre 2024,2723.0,2024Q1,North,44.3,1907.1590646659586,142.77781284472655,2024Q1
Acre,2º trimestre 2024,2667.0,2024Q2,North,46.4,1913.0843132908403,139.40838788293092,2024Q2
Acre,3º trimestre 2024,2690.0,2024Q3,North,47.2,1828.9804089648253,147.0764797050231,2024Q3
Acre,4º trimestre 2024,2738.0,2024Q4,North,47.0,1871.7090283876298,146.2834211126625,2024Q4
Acre,1º trimestre 2025,2760.0,2025Q1,North,46.1,1929.8624892402283,143.01537106338546,2025Q1
Acre,2º trimestre 2025,2600.0,2025Q2,North,46.6,1968.7305614844092,132.0647960094457,2025Q2
Acre,3º trimestre 2025,2854.0,2025Q3,North,45.6,1864.5290924297321,153.06813991734793,2025Q3
Acre,4º trimestre 2025,3007.0,2025Q4,North,45.0,1839.2323046442687,163.4921261662807,2025Q4
Acre,1º trimestre 2026,2852.0,2026Q1,North,43.7,1855.8413021591607,153.6769332960673,2026Q1
Amazonas,4º trimestre 2015,2644.0,2015Q4,North,54.1,1440.085875888325,183.60016192569307,2015Q4
Amazonas,1º trimestre 2016,2497.0,2016Q1,North,55.8,1550.0176104829545,161.09494389692674,2016Q1
Amazonas,2º trimestre 2016,2538.0,2016Q2,North,56.7,1542.3339424526514,164.55580274425003,2016Q2
Amazonas,3º trimestre 2016,2401.0,2016Q3,North,57.6,1594.1316378882575,150.61491428528444,2016Q3
Amazonas,4º trimestre 2016,2352.0,2016Q4,North,57.9,1563.0925607196968,150.47093557383866,2016Q4
Amazonas,1º trimestre 2017,2503.0,2017Q1,North,58.1,1462.7134687566702,171.12032215903434,2017Q1
Amazonas,2º trimestre 2017,2614.0,2017Q2,North,57.3,1501.363255247243,174.1084305123432,2017Q2
Amazonas,3º trimestre 2017,2639.0,2017Q3,North,53.9,1464.7913139185341,180.16218248456727,2017Q3
Amazonas,4º trimestre 2017,2802.0,2017Q4,North,54.8,1436.901422607613,195.00293867863795,2017Q4
Amazonas,1º trimestre 2018,2505.0,2018Q1,North,54.3,1437.3564047344516,174.27827863353022,2018Q1
Amazonas,2º trimestre 2018,2516.0,2018Q2,North,53.7,1435.4605898584905,175.27475277102735,2018Q2
Amazonas,3º trimestre 2018,2412.0,2018Q3,North,55.1,1379.9485013190076,174.78913145632015,2018Q3
Amazonas,4º trimestre 2018,2346.0,2018Q4,North,56.3,1465.3739040880503,160.09565841558998,2018Q4
Amazonas,1º trimestre 2019,2413.0,2019Q1,North,55.4,1519.4737125417503,158.80498491570307,2019Q1
Amazonas,2º trimestre 2019,2373.0,2019Q2,North,58.9,1572.3309076402804,150.92242914446973,2019Q2
Amazonas,3º trimestre 2019,2441.0,2019Q3,North,57.7,1484.533336932198,164.42877632134213,2019Q3
Amazonas,4º trimestre 2019,2382.0,2019Q4,North,58.4,1493.175712249499,159.52576648942875,2019Q4
Amazonas,1º trimestre 2020,2400.0,2020Q1,North,59.1,1575.5359985951482,152.3291122602085,2020Q1
Amazonas,2º trimestre 2020,2809.0,2020Q2,North,55.4,1669.033443373206,168.30100146602578,2020Q2
Amazonas,3º trimestre 2020,2635.0,2020Q3,North,56.7,1637.1745618819775,160.94801747780605,2020Q3
Amazonas,4º trimestre 2020,2530.0,2020Q4,North,58.9,1795.215855247209,140.93012785092677,2020Q4
Amazonas,1º trimestre 2021,2330.0,2021Q1,North,59.8,1819.3382207878788,128.0685456600244,2021Q1
Amazonas,2º trimestre 2021,2329.0,2021Q2,North,60.0,1772.9198499469696,131.3652165420599,2021Q2
Amazonas,3º trimestre 2021,2184.0,2021Q3,North,59.6,1795.7637244696969,121.61956332228242,2021Q3
Amazonas,4º trimestre 2021,2196.0,2021Q4,North,58.7,1835.3350591136361,119.65117699329215,2021Q4
Amazonas,1º trimestre 2022,2292.0,2022Q1,North,58.1,1862.2395224972497,123.07761554359261,2022Q1
Amazonas,2º trimestre 2022,2347.0,2022Q2,North,57.7,1946.5575643014301,120.57182602982915,2022Q2
Amazonas,3º trimestre 2022,2438.0,2022Q3,North,57.0,1872.1964641570405,130.22137615764132,2022Q3
Amazonas,4º trimestre 2022,2481.0,2022Q4,North,57.0,1927.633728307206,128.7070237237831,2022Q4
Amazonas,1º trimestre 2023,2400.0,2023Q1,North,57.1,1901.5979813236047,126.20964176294946,2023Q1
Amazonas,2º trimestre 2023,2465.0,2023Q2,North,56.8,1888.6460258899479,130.51678113364142,2023Q2
Amazonas,3º trimestre 2023,2394.0,2023Q3,North,55.0,1819.1727967234847,131.59827391393702,2023Q3
Amazonas,4º trimestre 2023,2586.0,2023Q4,North,54.7,1785.7779660732324,144.81083590063466,2023Q4
Amazonas,1º trimestre 2024,2496.0,2024Q1,North,53.3,1907.1590646659586,130.87529227338874,2024Q1
Amazonas,2º trimestre 2024,2443.0,2024Q2,North,52.2,1913.0843132908403,127.69954690588685,2024Q2
Amazonas,3º trimestre 2024,2475.0,2024Q3,North,54.2,1828.9804089648253,135.32129638287444,2024Q3
Amazonas,4º trimestre 2024,2541.0,2024Q4,North,52.1,1871.7090283876298,135.75828087920942,2024Q4
Amazonas,1º trimestre 2025,2567.0,2025Q1,North,53.2,1929.8624892402283,133.01465852163423,2025Q1
Amazonas,2º trimestre 2025,2491.0,2025Q2,North,52.1,1968.7305614844092,126.52823340751125,2025Q2
Amazonas,3º trimestre 2025,2646.0,2025Q3,North,51.5,1864.5290924297321,141.91250813640596,2025Q3
Amazonas,4º trimestre 2025,2722.0,2025Q4,North,51.6,1839.2323046442687,147.9965305702082,2025Q4
Amazonas,1º trimestre 2026,2770.0,2026Q1,North,53.2,1855.8413021591607,149.25845204421682,2026Q1
Roraima,4º trimestre 2015,2973.0,2015Q4,North,43.1,1440.085875888325,206.44602171145442,2015Q4
Roraima,1º trimestre 2016,3092.0,2016Q1,North,44.0,1550.0176104829545,199.48160453716358,2016Q1
Roraima,2º trimestre 2016,3135.0,2016Q2,North,42.7,1542.3339424526514,203.26337336612445,2016Q2
Roraima,3º trimestre 2016,3162.0,2016Q3,North,42.6,1594.1316378882575,198.35250269473946,2016Q3
Roraima,4º trimestre 2016,3146.0,2016Q4,North,41.7,1563.0925607196968,201.26767147759202,2016Q4
Roraima,1º trimestre 2017,3184.0,2017Q1,North,43.7,1462.7134687566702,217.67762914677,2017Q1
Roraima,2º trimestre 2017,3052.0,2017Q2,North,43.6,1501.363255247243,203.28191657370752,2017Q2
Roraima,3º trimestre 2017,3058.0,2017Q3,North,44.3,1464.7913139185341,208.7669397642314,2017Q3
Roraima,4º trimestre 2017,3173.0,2017Q4,North,44.5,1436.901422607613,220.82238559147686,2017Q4
Roraima,1º trimestre 2018,3337.0,2018Q1,North,44.3,1437.3564047344516,232.16232167668278,2018Q1
Roraima,2º trimestre 2018,3193.0,2018Q2,North,44.1,1435.4605898584905,222.43731542046515,2018Q2
Roraima,3º trimestre 2018,3165.0,2018Q3,North,45.6,1379.9485013190076,229.35638518211164,2018Q3
Roraima,4º trimestre 2018,3144.0,2018Q4,North,44.6,1465.3739040880503,214.55274938559884,2018Q4
Roraima,1º trimestre 2019,3145.0,2019Q1,North,48.0,1519.4737125417503,206.97955970156906,2019Q1
Roraima,2º trimestre 2019,3302.0,2019Q2,North,48.0,1572.3309076402804,210.00668395913993,2019Q2
Roraima,3º trimestre 2019,3308.0,2019Q3,North,45.9,1484.533336932198,222.83096766530102,2019Q3
Roraima,4º trimestre 2019,3045.0,2019Q4,North,47.3,1493.175712249499,203.9277745425317,2019Q4
Roraima,1º trimestre 2020,3126.0,2020Q1,North,45.4,1575.5359985951482,198.40866871892155,2020Q1
Roraima,2º trimestre 2020,3384.0,2020Q2,North,44.5,1669.033443373206,202.75207866181248,2020Q2
Roraima,3º trimestre 2020,3314.0,2020Q3,North,46.4,1637.1745618819775,202.42190888859557,2020Q3
Roraima,4º trimestre 2020,3163.0,2020Q4,North,47.4,1795.215855247209,176.19051161758156,2020Q4
Roraima,1º trimestre 2021,2932.0,2021Q1,North,49.4,1819.3382207878788,161.1575003756187,2021Q1
Roraima,2º trimestre 2021,2662.0,2021Q2,North,49.1,1772.9198499469696,150.14779151350942,2021Q2
Roraima,3º trimestre 2021,2698.0,2021Q3,North,46.9,1795.7637244696969,150.2424825290833,2021Q3
Roraima,4º trimestre 2021,2806.0,2021Q4,North,47.0,1835.3350591136361,152.88761504698442,2021Q4
Roraima,1º trimestre 2022,2756.0,2022Q1,North,44.8,1862.2395224972497,147.99385184910176,2022Q1
Roraima,2º trimestre 2022,2803.0,2022Q2,North,47.4,1946.5575643014301,143.99779648982152,2022Q2
Roraima,3º trimestre 2022,2689.0,2022Q3,North,48.2,1872.1964641570405,143.62808879733285,2022Q3
Roraima,4º trimestre 2022,3054.0,2022Q4,North,48.3,1927.633728307206,158.43258784862294,2022Q4
Roraima,1º trimestre 2023,3049.0,2023Q1,North,47.7,1901.5979813236047,160.33883238968036,2023Q1
Roraima,2º trimestre 2023,3041.0,2023Q2,North,44.6,1888.6460258899479,161.014820051685,2023Q2
Roraima,3º trimestre 2023,3202.0,2023Q3,North,43.8,1819.1727967234847,176.01406561087148,2023Q3
Roraima,4º trimestre 2023,2972.0,2023Q4,North,45.6,1785.7779660732324,166.42606507992508,2023Q4
Roraima,1º trimestre 2024,3020.0,2024Q1,North,44.2,1907.1590646659586,158.35071420898797,2024Q1
Roraima,2º trimestre 2024,2939.0,2024Q2,North,46.9,1913.0843132908403,153.62626621219871,2024Q2
Roraima,3º trimestre 2024,2853.0,2024Q3,North,47.4,1828.9804089648253,155.9885489213498,2024Q3
Roraima,4º trimestre 2024,3178.0,2024Q4,North,45.9,1871.7090283876298,169.7913485376338,2024Q4
Roraima,1º trimestre 2025,3219.0,2025Q1,North,44.0,1929.8624892402283,166.7994490771876,2025Q1
Roraima,2º trimestre 2025,3281.0,2025Q2,North,41.6,1968.7305614844092,166.6556137334582,2025Q2
Roraima,3º trimestre 2025,3377.0,2025Q3,North,40.6,1864.5290924297321,181.1181179050049,2025Q3
Roraima,4º trimestre 2025,3320.0,2025Q4,North,39.0,1839.2323046442687,180.51009606652875,2025Q4
Roraima,1º trimestre 2026,3532.0,2026Q1,North,42.2,1855.8413021591607,190.31799733580283,2026Q1
Pará,4º trimestre 2015,2035.0,2015Q4,North,60.9,1440.085875888325,141.3110172158795,2015Q4
Pará,1º trimestre 2016,2037.0,2016Q1,North,60.7,1550.0176104829545,131.41786172128144,2016Q1
Pará,2º trimestre 2016,2067.0,2016Q2,North,60.7,1542.3339424526514,134.0176691380476,2016Q2
Pará,3º trimestre 2016,2083.0,2016Q3,North,60.7,1594.1316378882575,130.6667498776541,2016Q3
Pará,4º trimestre 2016,2046.0,2016Q4,North,61.5,1563.0925607196968,130.89435977214026,2016Q4
Pará,1º trimestre 2017,2089.0,2017Q1,North,61.9,1462.7134687566702,142.81676108278975,2017Q1
Pará,2º trimestre 2017,2068.0,2017Q2,North,62.5,1501.363255247243,137.7414821344781,2017Q2
Pará,3º trimestre 2017,2155.0,2017Q3,North,61.5,1464.7913139185341,147.1199330254803,2017Q3
Pará,4º trimestre 2017,2127.0,2017Q4,North,61.6,1436.901422607613,148.0268560205078,2017Q4
Pará,1º trimestre 2018,2222.0,2018Q1,North,61.4,1437.3564047344516,154.58935533880404,2018Q1
Pará,2º trimestre 2018,2173.0,2018Q2,North,60.7,1435.4605898584905,151.3799832159946,2018Q2
Pará,3º trimestre 2018,2197.0,2018Q3,North,61.2,1379.9485013190076,159.20883988786707,2018Q3
Pará,4º trimestre 2018,2174.0,2018Q4,North,62.4,1465.3739040880503,148.3580398105254,2018Q4
Pará,1º trimestre 2019,2179.0,2019Q1,North,61.6,1519.4737125417503,143.4049159267787,2019Q1
Pará,2º trimestre 2019,2123.0,2019Q2,North,62.3,1572.3309076402804,135.02246821479528,2019Q2
Pará,3º trimestre 2019,2165.0,2019Q3,North,63.5,1484.533336932198,145.83707527067008,2019Q3
Pará,4º trimestre 2019,2229.0,2019Q4,North,62.6,1493.175712249499,149.27914924640498,2019Q4
Pará,1º trimestre 2020,2192.0,2020Q1,North,61.3,1575.5359985951482,139.12725586432376,2020Q1
Pará,2º trimestre 2020,2468.0,2020Q2,North,56.4,1669.033443373206,147.8700148160027,2020Q2
Pará,3º trimestre 2020,2290.0,2020Q3,North,60.8,1637.1745618819775,139.87512714389976,2020Q3
Pará,4º trimestre 2020,2275.0,2020Q4,North,59.6,1795.215855247209,126.72570785014166,2020Q4
Pará,1º trimestre 2021,2338.0,2021Q1,North,58.9,1819.3382207878788,128.50826598847084,2021Q1
Pará,2º trimestre 2021,2228.0,2021Q2,North,60.7,1772.9198499469696,125.66839950867731,2021Q2
Pará,3º trimestre 2021,2252.0,2021Q3,North,62.5,1795.7637244696969,125.40625302279304,2021Q3
Pará,4º trimestre 2021,2081.0,2021Q4,North,62.9,1835.3350591136361,113.38529113071083,2021Q4
Pará,1º trimestre 2022,2167.0,2022Q1,North,63.2,1862.2395224972497,116.36526740094467,2022Q1
Pará,2º trimestre 2022,2223.0,2022Q2,North,62.0,1946.5575643014301,114.2016059924628,2022Q2
Pará,3º trimestre 2022,2327.0,2022Q3,North,60.8,1872.1964641570405,124.29251120542712,2022Q3
Pará,4º trimestre 2022,2358.0,2022Q4,North,61.1,1927.633728307206,122.3261434666185,2022Q4
Pará,1º trimestre 2023,2351.0,2023Q1,North,59.9,1901.5979813236047,123.6328615769559,2023Q1
Pará,2º trimestre 2023,2450.0,2023Q2,North,59.0,1888.6460258899479,129.72256137015071,2023Q2
Pará,3º trimestre 2023,2439.0,2023Q3,North,57.4,1819.1727967234847,134.07192567923659,2023Q3
Pará,4º trimestre 2023,2494.0,2023Q4,North,57.7,1785.7779660732324,139.65901961956027,2023Q4
Pará,1º trimestre 2024,2555.0,2024Q1,North,57.1,1907.1590646659586,133.96889894171002,2024Q1
Pará,2º trimestre 2024,2535.0,2024Q2,North,56.2,1913.0843132908403,132.50853516431567,2024Q2
Pará,3º trimestre 2024,2464.0,2024Q3,North,57.2,1828.9804089648253,134.71986839895055,2024Q3
Pará,4º trimestre 2024,2483.0,2024Q4,North,57.9,1871.7090283876298,132.65950862773593,2024Q4
Pará,1º trimestre 2025,2567.0,2025Q1,North,57.7,1929.8624892402283,133.01465852163423,2025Q1
Pará,2º trimestre 2025,2643.0,2025Q2,North,55.9,1968.7305614844092,134.24894455883268,2025Q2
Pará,3º trimestre 2025,2458.0,2025Q3,North,56.5,1864.5290924297321,131.82953325747766,2025Q3
Pará,4º trimestre 2025,2609.0,2025Q4,North,56.7,1839.2323046442687,141.85266284264262,2025Q4
Pará,1º trimestre 2026,2528.0,2026Q1,North,56.5,1855.8413021591607,136.21854395948742,2026Q1
Amapá,4º trimestre 2015,3007.0,2015Q4,North,48.8,1440.085875888325,208.80699202366074,2015Q4
Amapá,1º trimestre 2016,2926.0,2016Q1,North,48.9,1550.0176104829545,188.77204879551766,2016Q1
Amapá,2º trimestre 2016,3239.0,2016Q2,North,48.7,1542.3339424526514,210.00640074413943,2016Q2
Amapá,3º trimestre 2016,3076.0,2016Q3,North,48.2,1594.1316378882575,192.95771609393375,2016Q3
Amapá,4º trimestre 2016,3131.0,2016Q4,North,47.7,1563.0925607196968,200.30803540888132,2016Q4
Amapá,1º trimestre 2017,3307.0,2017Q1,North,48.9,1462.7134687566702,226.086658162176,2017Q1
Amapá,2º trimestre 2017,3356.0,2017Q2,North,48.2,1501.363255247243,223.53018087200604,2017Q2
Amapá,3º trimestre 2017,3297.0,2017Q3,North,49.8,1464.7913139185341,225.08325716241694,2017Q3
Amapá,4º trimestre 2017,2928.0,2017Q4,North,53.3,1436.901422607613,203.7718074414889,2017Q4
Amapá,1º trimestre 2018,3063.0,2018Q1,North,49.3,1437.3564047344516,213.09954788602917,2018Q1
Amapá,2º trimestre 2018,2858.0,2018Q2,North,48.0,1435.4605898584905,199.09985827487924,2018Q2
Amapá,3º trimestre 2018,2685.0,2018Q3,North,50.2,1379.9485013190076,194.572478424635,2018Q3
Amapá,4º trimestre 2018,2693.0,2018Q4,North,51.9,1465.3739040880503,183.7756215316214,2018Q4
Amapá,1º trimestre 2019,2675.0,2019Q1,North,53.6,1519.4737125417503,176.04779720244747,2019Q1
Amapá,2º trimestre 2019,2681.0,2019Q2,North,55.0,1572.3309076402804,170.51118100982862,2019Q2
Amapá,3º trimestre 2019,2644.0,2019Q3,North,54.2,1484.533336932198,178.1031071665828,2019Q3
Amapá,4º trimestre 2019,2668.0,2019Q4,North,56.1,1493.175712249499,178.67957388488492,2019Q4
Amapá,1º trimestre 2020,2655.0,2020Q1,North,53.2,1575.5359985951482,168.51408043785563,2020Q1
Amapá,2º trimestre 2020,2777.0,2020Q2,North,46.2,1669.033443373206,166.38372412643417,2020Q2
Amapá,3º trimestre 2020,2881.0,2020Q3,North,45.4,1637.1745618819775,175.97390449850445,2020Q3
Amapá,4º trimestre 2020,2772.0,2020Q4,North,48.8,1795.215855247209,154.41040094971106,2020Q4
Amapá,1º trimestre 2021,2767.0,2021Q1,North,50.0,1819.3382207878788,152.08826860141096,2021Q1
Amapá,2º trimestre 2021,2779.0,2021Q2,North,50.3,1772.9198499469696,156.74707461158627,2021Q2
Amapá,3º trimestre 2021,2734.0,2021Q3,North,51.5,1795.7637244696969,152.24720060582422,2021Q3
Amapá,4º trimestre 2021,2720.0,2021Q4,North,50.2,1835.3350591136361,148.20182214105404,2021Q4
Amapá,1º trimestre 2022,2751.0,2022Q1,North,46.3,1862.2395224972497,147.72535792339585,2022Q1
Amapá,2º trimestre 2022,2546.0,2022Q2,North,51.3,1946.5575643014301,130.7950017349574,2022Q2
Amapá,3º trimestre 2022,2727.0,2022Q3,North,48.7,1872.1964641570405,145.65779031250528,2022Q3
Amapá,4º trimestre 2022,2833.0,2022Q4,North,48.5,1927.633728307206,146.96775421583132,2022Q4
Amapá,1º trimestre 2023,2797.0,2023Q1,North,46.5,1901.5979813236047,147.08682000457068,2023Q1
Amapá,2º trimestre 2023,2850.0,2023Q2,North,46.0,1888.6460258899479,150.90175506323655,2023Q2
Amapá,3º trimestre 2023,2918.0,2023Q3,North,43.4,1819.1727967234847,160.40257446986976,2023Q3
Amapá,4º trimestre 2023,3000.0,2023Q4,North,39.9,1785.7779660732324,167.99400916546946,2023Q4
Amapá,1º trimestre 2024,2871.0,2024Q1,North,45.6,1907.1590646659586,150.53804652119354,2024Q1
Amapá,2º trimestre 2024,3128.0,2024Q2,North,45.2,1913.0843132908403,163.50560078657963,2024Q2
Amapá,3º trimestre 2024,2972.0,2024Q3,North,46.1,1828.9804089648253,162.49490620198094,2024Q3
Amapá,4º trimestre 2024,3005.0,2024Q4,North,45.1,1871.7090283876298,160.54845889099735,2024Q4
Amapá,1º trimestre 2025,3051.0,2025Q1,North,44.0,1929.8624892402283,158.09416562115547,2025Q1
Amapá,2º trimestre 2025,3124.0,2025Q2,North,43.4,1968.7305614844092,158.68093182058013,2025Q2
Amapá,3º trimestre 2025,3102.0,2025Q3,North,45.0,1864.5290924297321,166.3690855023172,2025Q3
Amapá,4º trimestre 2025,3404.0,2025Q4,North,42.5,1839.2323046442687,185.07721897905537,2025Q4
Amapá,1º trimestre 2026,3412.0,2026Q1,North,42.7,1855.8413021591607,183.85192721114362,2026Q1
