city,quarter,labour_income_real
Aracaju (SE),2012Q1,3908.0
Aracaju (SE),2012Q2,3835.0
Aracaju (SE),2012Q3,3668.0
Aracaju (SE),2012Q4,3821.0
Aracaju (SE),2013Q1,4145.0
Aracaju (SE),2013Q2,4082.0
Aracaju (SE),2013Q3,4144.0
Aracaju (SE),2013Q4,4233.0
Aracaju (SE),2014Q1,4700.0
Aracaju (SE),2014Q2,5102.0
Aracaju (SE),2014Q3,4754.0
Aracaju (SE),2014Q4,4625.0
Aracaju (SE),2015Q1,4220.0
Aracaju (SE),2015Q2,4135.0
Aracaju (SE),2015Q3,4227.0
Aracaju (SE),2015Q4,3940.0
Aracaju (SE),2016Q1,4069.0
Aracaju (SE),2016Q2,4629.0
Aracaju (SE),2016Q3,4286.0
Aracaju (SE),2016Q4,4469.0
Aracaju (SE),2017Q1,4471.0
Aracaju (SE),2017Q2,4134.0
Aracaju (SE),2017Q3,3917.0
Aracaju (SE),2017Q4,3629.0
Aracaju (SE),2018Q1,3951.0
Aracaju (SE),2018Q2,3794.0
Aracaju (SE),2018Q3,3860.0
Aracaju (SE),2018Q4,3895.0
Aracaju (SE),2019Q1,3863.0
Aracaju (SE),2019Q2,3511.0
Aracaju (SE),2019Q3,3526.0
Aracaju (SE),2019Q4,3486.0
Aracaju (SE),2020Q1,3653.0
Aracaju (SE),2022Q2,3494.0
Aracaju (SE),2022Q3,3551.0
Aracaju (SE),2022Q4,3718.0
Aracaju (SE),2023Q1,3895.0
Aracaju (SE),2023Q2,3903.0
Aracaju (SE),2023Q3,3604.0
Aracaju (SE),2023Q4,3540.0
Aracaju (SE),2024Q1,3610.0
Aracaju (SE),2024Q2,3677.0
Aracaju (SE),2024Q3,3665.0
Aracaju (SE),2024Q4,4088.0
Aracaju (SE),2025Q1,4080.0
Aracaju (SE),2025Q2,4038.0
Aracaju (SE),2025Q3,4722.0
Aracaju (SE),2025Q4,4469.0
Aracaju (SE),2026Q1,4747.0
Belo Horizonte (MG),2012Q1,4782.0
Belo Horizonte (MG),2012Q2,4626.0
Belo Horizonte (MG),2012Q3,4920.0
Belo Horizonte (MG),2012Q4,4637.0
Belo Horizonte (MG),2013Q1,4750.0
Belo Horizonte (MG),2013Q2,4728.0
Belo Horizonte (MG),2013Q3,4826.0
Belo Horizonte (MG),2013Q4,4977.0
Belo Horizonte (MG),2014Q1,4709.0
Belo Horizonte (MG),2014Q2,4718.0
Belo Horizonte (MG),2014Q3,4850.0
Belo Horizonte (MG),2014Q4,4714.0
Belo Horizonte (MG),2015Q1,4632.0
Belo Horizonte (MG),2015Q2,4680.0
Belo Horizonte (MG),2015Q3,4785.0
Belo Horizonte (MG),2015Q4,4672.0
Belo Horizonte (MG),2016Q1,4604.0
Belo Horizonte (MG),2016Q2,4416.0
Belo Horizonte (MG),2016Q3,4345.0
Belo Horizonte (MG),2016Q4,4458.0
Belo Horizonte (MG),2017Q1,4270.0
Belo Horizonte (MG),2017Q2,4249.0
Belo Horizonte (MG),2017Q3,4490.0
Belo Horizonte (MG),2017Q4,4570.0
Belo Horizonte (MG),2018Q1,4592.0
Belo Horizonte (MG),2018Q2,4599.0
Belo Horizonte (MG),2018Q3,4522.0
Belo Horizonte (MG),2018Q4,4485.0
Belo Horizonte (MG),2019Q1,4312.0
Belo Horizonte (MG),2019Q2,4588.0
Belo Horizonte (MG),2019Q3,4431.0
Belo Horizonte (MG),2019Q4,4363.0
Belo Horizonte (MG),2020Q1,4323.0
Belo Horizonte (MG),2022Q2,4286.0
Belo Horizonte (MG),2022Q3,4472.0
Belo Horizonte (MG),2022Q4,4565.0
Belo Horizonte (MG),2023Q1,4707.0
Belo Horizonte (MG),2023Q2,4774.0
Belo Horizonte (MG),2023Q3,4941.0
Belo Horizonte (MG),2023Q4,4948.0
Belo Horizonte (MG),2024Q1,4932.0
Belo Horizonte (MG),2024Q2,4843.0
Belo Horizonte (MG),2024Q3,4603.0
Belo Horizonte (MG),2024Q4,4604.0
Belo Horizonte (MG),2025Q1,4656.0
Belo Horizonte (MG),2025Q2,4579.0
Belo Horizonte (MG),2025Q3,5022.0
Belo Horizonte (MG),2025Q4,5264.0
Belo Horizonte (MG),2026Q1,5305.0
Belém (PA),2012Q1,2617.0
Belém (PA),2012Q2,2646.0
Belém (PA),2012Q3,2670.0
Belém (PA),2012Q4,2610.0
Belém (PA),2013Q1,2684.0
Belém (PA),2013Q2,2909.0
Belém (PA),2013Q3,2982.0
Belém (PA),2013Q4,2803.0
Belém (PA),2014Q1,2931.0
Belém (PA),2014Q2,2795.0
Belém (PA),2014Q3,2752.0
Belém (PA),2014Q4,2713.0
Belém (PA),2015Q1,2626.0
Belém (PA),2015Q2,2457.0
Belém (PA),2015Q3,2617.0
Belém (PA),2015Q4,2515.0
Belém (PA),2016Q1,2653.0
Belém (PA),2016Q2,2760.0
Belém (PA),2016Q3,2853.0
Belém (PA),2016Q4,2667.0
Belém (PA),2017Q1,2796.0
Belém (PA),2017Q2,2760.0
Belém (PA),2017Q3,3136.0
Belém (PA),2017Q4,3091.0
Belém (PA),2018Q1,3546.0
Belém (PA),2018Q2,3545.0
Belém (PA),2018Q3,3598.0
Belém (PA),2018Q4,3641.0
Belém (PA),2019Q1,3582.0
Belém (PA),2019Q2,3428.0
Belém (PA),2019Q3,3430.0
Belém (PA),2019Q4,3648.0
Belém (PA),2020Q1,3568.0
Belém (PA),2022Q2,3476.0
Belém (PA),2022Q3,3561.0
Belém (PA),2022Q4,3794.0
Belém (PA),2023Q1,3476.0
Belém (PA),2023Q2,3705.0
Belém (PA),2023Q3,3518.0
Belém (PA),2023Q4,3931.0
Belém (PA),2024Q1,3903.0
Belém (PA),2024Q2,3658.0
Belém (PA),2024Q3,3560.0
Belém (PA),2024Q4,3574.0
Belém (PA),2025Q1,3568.0
Belém (PA),2025Q2,3753.0
Belém (PA),2025Q3,3580.0
Belém (PA),2025Q4,3730.0
Belém (PA),2026Q1,3584.0
Boa Vista (RR),2012Q1,3521.0
Boa Vista (RR),2012Q2,3643.0
Boa Vista (RR),2012Q3,3693.0
Boa Vista (RR),2012Q4,3410.0
Boa Vista (RR),2013Q1,3813.0
Boa Vista (RR),2013Q2,3794.0
Boa Vista (RR),2013Q3,3901.0
Boa Vista (RR),2013Q4,3601.0
Boa Vista (RR),2014Q1,3708.0
Boa Vista (RR),2014Q2,3593.0
Boa Vista (RR),2014Q3,3681.0
Boa Vista (RR),2014Q4,3645.0
Boa Vista (RR),2015Q1,4093.0
Boa Vista (RR),2015Q2,3563.0
Boa Vista (RR),2015Q3,3408.0
Boa Vista (RR),2015Q4,3192.0
Boa Vista (RR),2016Q1,3436.0
Boa Vista (RR),2016Q2,3447.0
Boa Vista (RR),2016Q3,3474.0
Boa Vista (RR),2016Q4,3441.0
Boa Vista (RR),2017Q1,3515.0
Boa Vista (RR),2017Q2,3332.0
Boa Vista (RR),2017Q3,3378.0
Boa Vista (RR),2017Q4,3466.0
Boa Vista (RR),2018Q1,3624.0
Boa Vista (RR),2018Q2,3425.0
Boa Vista (RR),2018Q3,3456.0
Boa Vista (RR),2018Q4,3411.0
Boa Vista (RR),2019Q1,3470.0
Boa Vista (RR),2019Q2,3638.0
Boa Vista (RR),2019Q3,3663.0
Boa Vista (RR),2019Q4,3358.0
Boa Vista (RR),2020Q1,3431.0
Boa Vista (RR),2022Q2,2969.0
Boa Vista (RR),2022Q3,2819.0
Boa Vista (RR),2022Q4,3229.0
Boa Vista (RR),2023Q1,3224.0
Boa Vista (RR),2023Q2,3284.0
Boa Vista (RR),2023Q3,3403.0
Boa Vista (RR),2023Q4,3187.0
Boa Vista (RR),2024Q1,3268.0
Boa Vista (RR),2024Q2,3155.0
Boa Vista (RR),2024Q3,3022.0
Boa Vista (RR),2024Q4,3394.0
Boa Vista (RR),2025Q1,3491.0
Boa Vista (RR),2025Q2,3570.0
Boa Vista (RR),2025Q3,3644.0
Boa Vista (RR),2025Q4,3569.0
Boa Vista (RR),2026Q1,3657.0
Brasília (DF),2012Q1,6046.0
Brasília (DF),2012Q2,6039.0
Brasília (DF),2012Q3,5959.0
Brasília (DF),2012Q4,6119.0
Brasília (DF),2013Q1,6003.0
Brasília (DF),2013Q2,6148.0
Brasília (DF),2013Q3,5925.0
Brasília (DF),2013Q4,6152.0
Brasília (DF),2014Q1,5729.0
Brasília (DF),2014Q2,5651.0
Brasília (DF),2014Q3,5537.0
Brasília (DF),2014Q4,5694.0
Brasília (DF),2015Q1,5858.0
Brasília (DF),2015Q2,6009.0
Brasília (DF),2015Q3,5852.0
Brasília (DF),2015Q4,5872.0
Brasília (DF),2016Q1,5714.0
Brasília (DF),2016Q2,5760.0
Brasília (DF),2016Q3,5720.0
Brasília (DF),2016Q4,5586.0
Brasília (DF),2017Q1,5415.0
Brasília (DF),2017Q2,5617.0
Brasília (DF),2017Q3,5587.0
Brasília (DF),2017Q4,5798.0
Brasília (DF),2018Q1,5961.0
Brasília (DF),2018Q2,5700.0
Brasília (DF),2018Q3,5613.0
Brasília (DF),2018Q4,5791.0
Brasília (DF),2019Q1,5827.0
Brasília (DF),2019Q2,5552.0
Brasília (DF),2019Q3,5456.0
Brasília (DF),2019Q4,5660.0
Brasília (DF),2020Q1,5422.0
Brasília (DF),2022Q2,5236.0
Brasília (DF),2022Q3,5673.0
Brasília (DF),2022Q4,5549.0
Brasília (DF),2023Q1,5561.0
Brasília (DF),2023Q2,5445.0
Brasília (DF),2023Q3,5523.0
Brasília (DF),2023Q4,5632.0
Brasília (DF),2024Q1,5536.0
Brasília (DF),2024Q2,5568.0
Brasília (DF),2024Q3,5785.0
Brasília (DF),2024Q4,5729.0
Brasília (DF),2025Q1,5767.0
Brasília (DF),2025Q2,6082.0
Brasília (DF),2025Q3,6278.0
Brasília (DF),2025Q4,6304.0
Brasília (DF),2026Q1,6720.0
Campo Grande (MS),2012Q1,3684.0
Campo Grande (MS),2012Q2,3471.0
Campo Grande (MS),2012Q3,3475.0
Campo Grande (MS),2012Q4,3716.0
Campo Grande (MS),2013Q1,3570.0
Campo Grande (MS),2013Q2,3523.0
Campo Grande (MS),2013Q3,3560.0
Campo Grande (MS),2013Q4,3651.0
Campo Grande (MS),2014Q1,3587.0
Campo Grande (MS),2014Q2,3791.0
Campo Grande (MS),2014Q3,3977.0
Campo Grande (MS),2014Q4,3952.0
Campo Grande (MS),2015Q1,3828.0
Campo Grande (MS),2015Q2,3728.0
Campo Grande (MS),2015Q3,3438.0
Campo Grande (MS),2015Q4,3421.0
Campo Grande (MS),2016Q1,3489.0
Campo Grande (MS),2016Q2,3491.0
Campo Grande (MS),2016Q3,3820.0
Campo Grande (MS),2016Q4,3931.0
Campo Grande (MS),2017Q1,3824.0
Campo Grande (MS),2017Q2,3898.0
Campo Grande (MS),2017Q3,3862.0
Campo Grande (MS),2017Q4,3792.0
Campo Grande (MS),2018Q1,3808.0
Campo Grande (MS),2018Q2,4047.0
Campo Grande (MS),2018Q3,4073.0
Campo Grande (MS),2018Q4,4038.0
Campo Grande (MS),2019Q1,4178.0
Campo Grande (MS),2019Q2,3975.0
Campo Grande (MS),2019Q3,3759.0
Campo Grande (MS),2019Q4,3884.0
Campo Grande (MS),2020Q1,3609.0
Campo Grande (MS),2022Q2,3881.0
Campo Grande (MS),2022Q3,3970.0
Campo Grande (MS),2022Q4,4440.0
Campo Grande (MS),2023Q1,4325.0
Campo Grande (MS),2023Q2,4237.0
Campo Grande (MS),2023Q3,4366.0
Campo Grande (MS),2023Q4,3950.0
Campo Grande (MS),2024Q1,3806.0
Campo Grande (MS),2024Q2,4063.0
Campo Grande (MS),2024Q3,4142.0
Campo Grande (MS),2024Q4,4270.0
Campo Grande (MS),2025Q1,4330.0
Campo Grande (MS),2025Q2,4239.0
Campo Grande (MS),2025Q3,4195.0
Campo Grande (MS),2025Q4,4156.0
Campo Grande (MS),2026Q1,4304.0
Cuiabá (MT),2012Q1,4410.0
Cuiabá (MT),2012Q2,4079.0
Cuiabá (MT),2012Q3,4211.0
Cuiabá (MT),2012Q4,3977.0
Cuiabá (MT),2013Q1,3810.0
Cuiabá (MT),2013Q2,4025.0
Cuiabá (MT),2013Q3,3836.0
Cuiabá (MT),2013Q4,4021.0
Cuiabá (MT),2014Q1,3829.0
Cuiabá (MT),2014Q2,4122.0
Cuiabá (MT),2014Q3,3853.0
Cuiabá (MT),2014Q4,3892.0
Cuiabá (MT),2015Q1,4018.0
Cuiabá (MT),2015Q2,3892.0
Cuiabá (MT),2015Q3,3739.0
Cuiabá (MT),2015Q4,3746.0
Cuiabá (MT),2016Q1,3753.0
Cuiabá (MT),2016Q2,3597.0
Cuiabá (MT),2016Q3,3833.0
Cuiabá (MT),2016Q4,3651.0
Cuiabá (MT),2017Q1,4080.0
Cuiabá (MT),2017Q2,3825.0
Cuiabá (MT),2017Q3,4122.0
Cuiabá (MT),2017Q4,3701.0
Cuiabá (MT),2018Q1,3731.0
Cuiabá (MT),2018Q2,3796.0
Cuiabá (MT),2018Q3,4322.0
Cuiabá (MT),2018Q4,4215.0
Cuiabá (MT),2019Q1,4181.0
Cuiabá (MT),2019Q2,4303.0
Cuiabá (MT),2019Q3,4125.0
Cuiabá (MT),2019Q4,4197.0
Cuiabá (MT),2020Q1,4174.0
Cuiabá (MT),2022Q2,3420.0
Cuiabá (MT),2022Q3,3723.0
Cuiabá (MT),2022Q4,3737.0
Cuiabá (MT),2023Q1,3617.0
Cuiabá (MT),2023Q2,4014.0
Cuiabá (MT),2023Q3,4139.0
Cuiabá (MT),2023Q4,4067.0
Cuiabá (MT),2024Q1,4384.0
Cuiabá (MT),2024Q2,4683.0
Cuiabá (MT),2024Q3,4496.0
Cuiabá (MT),2024Q4,4191.0
