city,region,variant,date,household_type,adult_equivalents,g1_food,g2_housing,g3_household_articles,g4_clothing,g5_transport,g6_health_personal,g7_personal_expenses,g8_education,g9_communication,omal_total,one_worker_required_income,two_worker_required_income_each,sample_n,effective_n,shrinkage_city_weight,statutory_minimum,multiple_of_minimum_one_worker,multiple_of_minimum_two_workers_each,dieese_family_benchmark,ratio_to_dieese_family,pnad_quarter,labour_income_real
São Paulo,Southeast,core,2026-06-01,2 adults + 2 children,2.1,1664.7726191135264,2759.042454002049,0.0,281.6354720764651,737.507019494892,955.3461951831058,0.0,328.256125925571,242.64713013718622,6969.207015932796,6969.207015932796,3484.603507966398,147.0,121.30079867697218,0.6025847859233973,1621.0,4.299325734690188,2.149662867345094,8110.92,0.8592375483832655,2026Q1,5559.0
Curitiba,South,core,2026-06-01,2 adults + 2 children,2.1,1555.5836062512644,2670.2430627910485,0.0,273.99400077526127,916.3873751555606,806.9255954556216,0.0,365.6768381950914,275.1009021726845,6863.911380796532,6863.911380796532,3431.955690398266,90.0,72.44947043839824,0.4752359600204293,1621.0,4.234368526092863,2.1171842630464317,8110.92,0.8462555888600223,2026Q1,6245.0
Rio de Janeiro,Southeast,core,2026-06-01,2 adults + 2 children,2.1,1622.6914575337578,2828.246836364658,0.0,258.27808963964395,718.118277492842,790.1975397057543,0.0,294.42883957252667,260.7773983750337,6772.738438684217,6772.738438684217,3386.3692193421084,183.0,126.61936379194591,0.6128146049246599,1621.0,4.178123651254915,2.0890618256274576,8110.92,0.835014824296654,2026Q1,5680.0
Belém,North,core,2026-06-01,2 adults + 2 children,2.1,1770.6438100816388,2919.838883117964,0.0,291.82423445518566,470.9478399053724,915.8625009970422,0.0,201.60279473886231,161.37174210917712,6732.091805405243,6732.091805405243,3366.0459027026213,14.0,12.839660323329817,0.13829930310616745,1621.0,4.153048615302432,2.076524307651216,8110.92,0.8300034774606633,2026Q1,3584.0
Campo Grande,Center-West,core,2026-06-01,2 adults + 2 children,2.1,1720.1945284565227,2277.0254126057416,0.0,365.28367029902597,869.0739791369037,808.9590168553997,0.0,316.3188779963545,172.3236854668804,6529.179170816828,6529.179170816828,3264.589585408414,87.0,81.39027877328691,0.5043071949062059,1621.0,4.027871172619882,2.013935586309941,8110.92,0.8049862618318055,2026Q1,4304.0
Aracaju,Northeast,core,2026-06-01,2 adults + 2 children,2.1,1709.3631526130087,1886.971391295625,0.0,313.40997066771797,816.0565751113371,1109.1072461466658,0.0,496.12328243068515,192.8330789420155,6523.8646972070555,6523.8646972070555,3261.9323486035278,60.0,49.98700892776219,0.3845538822694314,1621.0,4.024592657129584,2.012296328564792,8110.92,0.8043310373184615,2026Q1,4747.0
Salvador,Northeast,core,2026-06-01,2 adults + 2 children,2.1,1733.4936532693214,2100.807452914402,0.0,292.67125491177717,880.7899763299743,892.4827364629062,0.0,410.68901699695726,199.113377863109,6510.0474687484475,6510.0474687484475,3255.0237343742237,65.0,52.45047125955023,0.39600063903712485,1621.0,4.016068765421621,2.0080343827108105,8110.92,0.8026275032608443,2026Q1,3568.0
Belo Horizonte,Southeast,core,2026-06-01,2 adults + 2 children,2.1,1753.5491150506964,2244.533043709636,0.0,310.53492879443934,737.836926078764,912.6829570388613,0.0,263.47501747747265,270.0327030123307,6492.644691162201,6492.644691162201,3246.3223455811003,84.0,73.84868844966974,0.48000856681874604,1621.0,4.005332937175941,2.0026664685879707,8110.92,0.8004819047854251,2026Q1,5305.0
Porto Alegre,South,core,2026-06-01,2 adults + 2 children,2.1,1581.9678012115464,2586.577054021427,0.0,221.3209947081074,699.8863622306175,797.2623366251445,0.0,285.9368882849547,260.81381819100613,6433.765255272804,6433.765255272804,3216.882627636402,79.0,73.65851221791073,0.47936499680181693,1621.0,3.969010027928935,1.9845050139644675,8110.92,0.7932226252105562,2026Q1,6490.0
Rio Branco,North,core,2026-06-01,2 adults + 2 children,2.1,1707.0237468338232,2631.0943545559244,0.0,313.3985405476603,636.3692317490872,828.0967867340504,0.0,143.18425453609245,168.35184604940906,6427.5187610060475,6427.5187610060475,3213.7593805030237,44.0,40.35309215650423,0.3352892014110452,1621.0,3.965156545963015,1.9825782729815076,8110.92,0.7924524913334181,2026Q1,3336.0
