	Salário mínimo - paridade do poder de compra (PPC) (GAC12_SALMINDOL12)
Frequência: Mensal de 1940.07 até 2026.05
Fonte: Instituto de Pesquisa Econômica Aplicada
Unidade: US$
Comentário: Representa, em cada mês, qual era o preço nos Estados Unidos da mesma cesta de bens que se podia adquirir com um salário mínimo no Brasil. Nota: A conversão é feita pela taxa de paridade de poder de compra (PPC) observada pelo Banco Mundial em 2011, corrigida pela inflação ao consumidor nos Estados Unidos e no Brasil. Para a inflação americana, utiliza-se o IPC do Bureau of Labor Statistics (BLS). Para a inflação brasileira, INPC/IBGE (a partir de março de 1979), IGPC-Mtb (jan/1948-mar/1979), IPC-RJ/FGV (jan/1944-jan/1948) e IPC-SP/Fipe (jul/1940-jan/1944). O salário mínimo urbano foi instituído no Brasil por decreto-lei do presidente Getúlio Vargas, durante a ditadura do Estado Novo, e começou a vigorar em julho de 1940, com valores diferenciados entre estados e sub-regiões. Em 1943, foi incorporado à Consolidação das Leis do Trabalho (CLT) e, em 1963, foi estendido ao campo por meio do Estatuto do Trabalhador Rural. Foi nacionalmente unificado em maio de 1984, mas, desde 2000, a Lei Complementar 103 permite que os estados fixem pisos estaduais superiores ao mínimo nacional. Os dados desta série para o período em que a legislação federal definia faixas diversificadas referem-se sempre ao maior salário mínimo vigente no país. Quanto ao período anterior à unificação, ver arquivo listado em mais informações.Mais informações: Determinação da taxa de câmbio: textes empíricos para o Brasil.
Atualizado em: 10/07/2026



The Ipeadata - http://www.ipeadata.gov.br chart showing Salário mínimo - paridade do poder de compra (PPC) series.
 

Data	 (Ascending)
Salário mínimo - paridade do poder de compra (PPC)	 
1940.07	16,80
1940.08	16,75
1940.09	16,73
1940.10	16,47
1940.11	16,10
1940.12	16,50
1941.01	16,07
1941.02	15,41
1941.03	16,06
1941.04	15,97
1941.05	15,50
1941.06	15,43
1941.07	15,68
1941.08	15,68
1941.09	15,76
1941.10	16,20
1941.11	15,98
1941.12	16,30
1942.01	16,66
1942.02	16,68
1942.03	16,92
1942.04	16,25
1942.05	16,14
1942.06	15,59
1942.07	15,24
1942.08	15,13
1942.09	14,82
1942.10	15,19
1942.11	15,23
1942.12	15,36
1943.01	15,08
1943.02	14,87
1943.03	15,16
1943.04	14,87
1943.05	14,89
1943.06	14,97
1943.07	18,04
1943.08	17,91
1943.09	17,64
1943.10	16,93
1943.11	16,91
1943.12	21,00
1944.01	19,01
1944.02	18,77
1944.03	18,19
1944.04	18,20
1944.05	17,76
1944.06	17,61
1944.07	17,77
1944.08	17,68
1944.09	17,65
1944.10	16,70
1944.11	16,13
1944.12	15,56
1945.01	15,40
1945.02	15,51
1945.03	15,17
1945.04	15,33
1945.05	15,42
1945.06	15,75
1945.07	15,63
1945.08	15,43
1945.09	15,47
1945.10	15,12
1945.11	15,01
1945.12	14,99
1946.01	14,59
1946.02	14,47
1946.03	14,67
1946.04	14,59
1946.05	14,51
1946.06	14,40
1946.07	15,03
1946.08	14,44
1946.09	14,03
1946.10	13,79
1946.11	13,74
1946.12	13,60
1947.01	12,87
1947.02	12,68
1947.03	12,72
1947.04	12,69
1947.05	12,87
1947.06	13,20
1947.07	13,88
1947.08	14,09
1947.09	14,13
1947.10	14,00
1947.11	14,00
1947.12	13,98
1948.01	13,94
1948.02	13,79
1948.03	13,72
1948.04	13,91
1948.05	13,88
1948.06	13,89
1948.07	14,03
1948.08	14,04
1948.09	13,98
1948.10	13,87
1948.11	13,73
1948.12	13,62
1949.01	13,43
1949.02	13,20
1949.03	13,08
1949.04	13,01
1949.05	12,85
1949.06	12,78
1949.07	12,63
1949.08	12,65
1949.09	12,66
1949.10	12,48
1949.11	12,46
1949.12	12,29
1950.01	12,19
1950.02	12,17
1950.03	12,18
1950.04	12,18
1950.05	12,51
1950.06	12,56
1950.07	12,39
1950.08	12,47
1950.09	12,48
1950.10	12,47
1950.11	12,42
1950.12	12,46
1951.01	12,42
1951.02	12,32
1951.03	12,13
1951.04	11,97
1951.05	11,86
1951.06	11,71
1951.07	11,65
1951.08	11,60
1951.09	11,63
1951.10	11,56
1951.11	11,53
1951.12	11,46
1952.01	35,07
1952.02	33,78
1952.03	32,91
1952.04	32,69
1952.05	32,46
1952.06	32,37
1952.07	32,47
1952.08	32,34
1952.09	32,20
1952.10	31,94
1952.11	31,67
1952.12	31,39
1953.01	30,75
1953.02	30,24
1953.03	29,75
1953.04	29,45
1953.05	29,27
1953.06	29,11
1953.07	28,77
1953.08	28,56
1953.09	28,22
1953.10	28,27
1953.11	28,10
1953.12	28,06
1954.01	27,25
1954.02	26,45
1954.03	25,75
1954.04	25,31
1954.05	25,06
1954.06	24,74
1954.07	48,82
1954.08	48,18
1954.09	47,39
1954.10	46,79
1954.11	46,20
1954.12	45,48
1955.01	44,13
1955.02	42,83
1955.03	41,67
1955.04	41,27
1955.05	40,86
1955.06	40,47
1955.07	40,24
1955.08	39,87
1955.09	39,65
1955.10	39,07
1955.11	38,51
1955.12	37,84
1956.01	36,67
1956.02	35,55
1956.03	34,56
1956.04	34,26
1956.05	33,95
1956.06	33,79
1956.07	33,44
1956.08	51,83
1956.09	51,15
1956.10	50,53
1956.11	49,75
1956.12	49,19
1957.01	47,56
1957.02	46,15
1957.03	44,91
1957.04	44,83
1957.05	44,76
1957.06	44,67
1957.07	44,91
1957.08	44,83
1957.09	44,74
1957.10	44,54
1957.11	44,50
1957.12	44,30
1958.01	43,69
1958.02	42,79
1958.03	42,24
1958.04	41,86
1958.05	41,35
1958.06	40,85
1958.07	40,61
1958.08	40,09
1958.09	39,71
1958.10	39,16
1958.11	38,75
1958.12	38,11
1959.01	57,49
1959.02	54,68
1959.03	52,31
1959.04	51,59
1959.05	50,71
1959.06	50,04
1959.07	49,60
1959.08	49,00
1959.09	48,58
1959.10	47,67
1959.11	46,63
1959.12	45,65
1960.01	43,87
1960.02	42,50
1960.03	41,05
1960.04	40,56
1960.05	39,95
1960.06	39,49
1960.07	39,00
1960.08	38,53
1960.09	38,07
1960.10	59,91
1960.11	58,56
1960.12	57,28
1961.01	55,09
1961.02	53,07
1961.03	51,18
1961.04	50,04
1961.05	48,96
1961.06	47,92
1961.07	47,47
1961.08	46,57
1961.09	46,00
1961.10	61,83
1961.11	59,45
1961.12	57,24
1962.01	53,59
1962.02	50,54
